"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","4713435","fullscreen","0","null","4714344","p2f848uts5v","seal","","","","","","","","","",""
"","2692","survey-text","1","2.0.0","4717040","p2f848uts5v","seal","{""participant_id"":""seal""}","","","","","","","","",""
"","7185","html-keyboard-response","2","2.0.0","4724227","p2f848uts5v","seal"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","3198","html-keyboard-response","3","2.0.0","4727426","p2f848uts5v","seal"," ","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","","",""
"","2674","html-keyboard-response","4","2.0.0","4730102","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Humans are more closely related to apes than monkeys.</div>","Evolution","T","T","Common ancestry","true","T","true",""
"","1446","html-keyboard-response","5","2.0.0","4732051","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Computer viruses evolve.</div>","Evolution","T","F","Adaptation","false","F","false",""
"","2931","html-keyboard-response","6","2.0.0","4735485","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Whales are more closely related to humans than fish.</div>","Evolution","T","F","Common ancestry","false","T","true",""
"","3352","html-keyboard-response","7","2.0.0","4739339","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Most organisms live in temperate climates.</div>","Evolution","F","F","Selection","true","T","false",""
"","1120","html-keyboard-response","8","2.0.0","4740960","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Evolution requires within-species variation.</div>","Evolution","T","F","Variation","false","F","false",""
"","462","html-keyboard-response","9","2.0.0","4741925","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Whales are more closely related to plants than fish.</div>","Evolution","F","F","Common ancestry","true","T","false",""
"","461","html-keyboard-response","10","2.0.0","4742889","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","F","true",""
"","575","html-keyboard-response","11","2.0.0","4743966","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Apes are more closely related to monkeys than humans.</div>","Evolution","F","T","Common ancestry","false","F","true",""
"","2011","html-keyboard-response","12","2.0.0","4746480","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Biological species evolve.</div>","Evolution","T","T","Adaptation","true","T","true",""
"","1294","html-keyboard-response","13","2.0.0","4748276","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Inanimate objects evolve.</div>","Evolution","F","F","Adaptation","true","F","true",""
"","1166","html-keyboard-response","14","2.0.0","4749944","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Evolution requires long periods of time.</div>","Evolution","F","T","Variation","false","T","false",""
"","1774","html-keyboard-response","15","2.0.0","4752220","p2f848uts5v","seal","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Evolution","T3","T3","AttentionCheck","true","T3","true",""
"","4952","html-keyboard-response","16","2.0.0","4757675","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Most organisms have plenty to eat.</div>","Evolution","F","T","Selection","false","F","true",""
"","1808","html-keyboard-response","17","2.0.0","4759986","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","F","false",""
"","1463","html-keyboard-response","18","2.0.0","4761952","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Individual organisms evolve.</div>","Evolution","F","T","Adaptation","false","T","false",""
"","507","html-keyboard-response","19","2.0.0","4762961","p2f848uts5v","seal","m","<div style=""font-size:30pt;"">Humans are descended from plants.</div>","Evolution","F","F","Phylogeny","true","F","true",""
"","1630","html-keyboard-response","20","2.0.0","4765093","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Evolution requires differential survival.</div>","Evolution","T","T","Variation","true","T","true",""
"","859","html-keyboard-response","21","2.0.0","4766454","p2f848uts5v","seal","z","<div style=""font-size:30pt;"">Humans are descended from chimpanzees.</div>","Evolution","F","T","Phylogeny","false","T","false",""
